,date,comments,likes,text
14,12/10/2021,124,2518,"«Единый бренд компании подчеркнет все возможности, которые дает наша экосистема: общение и игры, образование, доставка лекарств и продуктов, такси, каршеринг и онлайн-покупки, все возможности для бизнеса <...> и многое другое», — сообщил гендиректор компании Борис Добродеев.
⠀
Все проекты компании будут связаны едиными сервисами— VK ID, VK Pay, VK Combo и другими. Название ВКонтакте сохранится в качестве продуктового бренда социальной сети. Ребрендинг будет проводиться постепенно, например, сервис объявлений Юла переименуется в «VK Объявления» уже в 2022 году. Часть проектов компании уже получила новые названия: «VK Музыка» (бывший Boom), «VK Работа» (бывший Worki) и «VK Знакомства» (бывшая Lovina)."
15,11/10/2021,33,1973,"При нем у Microsoft больше доходов от облачных вычислений, чем у Google, больше подписчиков, чем у Netflix, а рыночная капитализация софтверного гиганта составила почти $2 трлн. Что еще нужно знать о Сатье Наделле — в карточках РБК Трендов"
16,11/10/2021,147,2200,"Средний доход нового депутата в 2020 году составил 61,5 млн руб., средняя сумма на банковском счете — 100 млн руб. Это заметно больше, чем у среднего депутата прошлого созыва, чей средний доход и сумма на счете составляли 23,5 млн и 69,2 млн руб. Однако нужно учитывать, что средние показатели в новой Думе так выросли за счет состоятельных новичков.
⠀
РБК также проанализировал, сколько депутатов имеют научную степень, у кого самая большая суммарная площадь земельных участков и какие были места работы новых депутатов до их избрания. Самые важные факты о новой Госдуме — в материале РБК по ссылке в шапке профиля"
17,11/10/2021,221,10408,Основатель мессенджера Telegram Павел Дуров в день своего 37-летия составил список из недооцененных и переоцененных вещей в жизни. Среди переоцененных вещей оказались социальные сети
18,10/10/2021,43,5546,"Многие люди ошибочно полагают, что причины откладывания на потом в лени, неумении сосредотачиваться, плохом тайм-менеджменте. Но это не причины, а только, как и прокрастинация, симптомы источника проблем.
⠀
Какие именно вещи приводят к синдрому отложенной жизни, читайте в полной версии материала РБК Pro по ссылке в шапке профиля. А в карточках мы описали четыре способа, которые помогут решить эту проблему"
19,10/10/2021,195,18178,Основатель ВКонтакте и Telegram Павел Дуров празднует сегодня свой 37-й день рождения
20,09/10/2021,33,3604,"Истории чужого успеха вселяют уверенность: если получилось у одного, получится и у других. За этой убежденностью скрывается систематическая «ошибка выжившего». РБК Тренды рассказывают, что это такое
⠀
#рбк #rbc #рбк_тренды"
21,09/10/2021,203,7267,"По данным «Федресурса», 50 крупнейших должников среди граждан задолжали кредиторам около 120 млрд руб. и погасили менее 1 млрд руб. РБК Pro выбрал из них топ-6 и выяснил, с кого кредиторы получили по максимуму
⠀
#рбк #rbc #рбк_pro"
22,08/10/2021,1249,14383,"Сергей Собянин пообещал выплатить в качестве вознаграждения 2 млн руб. Роману Ковалеву, избитому в метро несколько дней назад. Сегодня мэр лично приехал к нему в больницу.
⠀
«Спасибо девушке, которая помогла задержать бандитов. Спасибо за оперативную работу машинисту, дежурной и наряду полиции. Поручил руководству метрополитена выделить пострадавшему пассажиру помощь в размере двух млн руб.», — написал Собянин в своем Instagram.
⠀
До этого Ковалев, заступившийся за девушку, уже получил ведомственную медаль Следственного комитета
⠀
#РБК #рбк_новости #rbc #новости"
23,08/10/2021,308,7917,"Главред «Новой газеты» Дмитрий Муратов стал лауреатом Нобелевской премии мира. Вместе с ним награду получила филиппинская журналистка Мария Ресса.
⠀
Нобелевская премия вручена им за «усилия по защите свободы выражения мнений, которая является предпосылкой демократии и установления прочного мира».
⠀
«Госпожа Ресса и господин Муратов получают Премию мира за мужественную борьбу за свободу слова на Филиппинах и в России. В то же время они являются представителями всех журналистов, которые отстаивают этот идеал в мире, в котором демократия и свобода прессы сталкиваются со все более неблагоприятными условиями», — говорится в пресс-релизе о вручении Нобелевской премии
⠀
#РБК #рбк_новости #rbc #новости"
24,08/10/2021,78,6398,"В начале января 2015 года Марк Цукерберг пообещал себе читать по две книги в месяц. РБК Тренды собрали наиболее полюбившиеся основателю Facebook книги в единую подборку
⠀
#рбк #rbc #рбк_тренды"
25,07/10/2021,129,7857,"Так выглядит гибридная яхта Shape с футуристичным дизайном, представленная итальянским дизайнером Пьерпаоло Лаццарини.
⠀
Судно предусматривает использование исключительно чистой энергии, — его двигательная установка работает на водороде, а на верхней палубе расположены солнечные панели, обеспечивающие зарядку всех бортовых систем.
⠀
На данный момент неизвестно, насколько практичен данный концепт и какие проблемы могут возникнуть при эксплуатации судна."
26,07/10/2021,359,9250,"Джон Шоул — всемирно известный специалист по клиентскому сервису, посвятивший его исследованию уже более 40 лет. Он основал компанию Service Quality Institute, в котором проводится обучение по курсам обслуживания клиентов для таких организаций, как CocaCola, Kodak, Hyundai, DHL, FedEx, PizzaHut и Chevron.
⠀
В России на каждую вакансию нанимают по два работника, думая, что каждый будет выкладываться только на 50%. Избавьтесь от непродуктивных сотрудников, чтобы больше платить оставшимся, советует американский гуру сервиса. Лайфхаки для клиентского сервиса и советы российским компаниям от Джона Шоула — в карточках РБК Pro"
27,06/10/2021,76,2854,"Мутации могут сделать из человека супергероя, которому не страшны ни болезни, ни травмы. Он дышит разреженным воздухом и спит по четыре часа. Можно ли искусственно создать супермена и на что способны современные мутанты — в карточках РБК Трендов"
28,06/10/2021,70,7610,"По мнению китайского миллиардера, на самом деле жизнь каждого человека интересна. Но так уж принято — слушать лишь тех, кто успешен. В молодости Ма совершил множество ошибок. Он не мог поступить в университет, устроиться на работу, но никогда не сдавался.
⠀
Чем лучше всего заняться тридцати- и сорокалетним? У кого нет шанса на успех? Какие пять советов, которые сформулировал самый богатый человек Китая, помогут тем, кто решил стать предпринимателем? Ответы — в подборке высказываний основателя Alibaba в полной версии материала РБК Pro по ссылке в шапке профиля"
29,05/10/2021,236,11639,"Основатель Telegram Павел Дуров поприветствовал «беженцев» с других платформ. По его словам, накануне произошел рекордный рост регистрации и активности пользователей — пока были недоступны Facebook, WhatsApp и Instagram, к мессенджеру присоединились более 70 млн новых пользователей.
⠀
«Добро пожаловать в Telegram, крупнейшую независимую платформу обмена сообщениями. Мы не подведем вас, когда это сделают другие», — написал Дуров
⠀
#РБК #рбк_новости #rbc #новости"
30,05/10/2021,36,2830,"Когда человек долго топчется на одном месте и осознает, что выше ему уже не подняться, он разочаровывается в своих профессиональных успехах и начинает обесценивать результаты, которых ему удалось достигнуть. А это приводит к профессиональному выгоранию, выбраться из которого крайне сложно. Как этого не допустить? 

Читайте полную версию материала РБК Pro по ссылке в шапке профиля"
31,05/10/2021,178,11161,"Вчера вечером мы остались без Instagram, Facebook и WhatsApp. Происшествие стало стрессом для компании Facebook, финансовыми потерями для Цукерберга и забавным инцидентом для Twitter"
32,05/10/2021,873,13198,"Состояние основателя Facebook Марка Цукерберга на фоне глобального сбоя в работе компании и принадлежащих ей соцсетей снизилось на 5,11%, или $6,3 млрд, следует из рейтинга миллиардеров Forbes, который обновляется в реальном времени.

По состоянию на 22:11 мск оно оценивалось в $116,4 млрд. Сейчас Цукерберг находится на шестом месте рейтинга.

Марк потерял 6 млрд, а вы как провели время без Instagram?"
33,04/10/2021,109,2910,Даже богачи не могут купить бессмертие. Зато у них есть возможность инвестировать в изучение старения и регенеративную медицину. Как предприниматели Кремниевой долины пытаются победить смерть — в карточках РБК Трендов
34,04/10/2021,495,6625,"В России за последние сутки выявили 25 781 случай COVID-19, умерли от инфекции 883 человека. Темпы суточной заболеваемости в стране обновили рекорд, державшийся с января. Число умерших за сутки поставило рекорд с начала эпидемии в России."
35,04/10/2021,61,4298,"Сейчас люди так стремительно покидают прежние места работы, что эксперты уже прозвали наши дни эпохой «великого увольнения». Рассказываем в карточках РБК Pro, о чем обязательно нужно задуматься тем, кто подумывает переходить в другую компанию.
⠀
Почему люди решают уволиться и что говорят исследования — читайте в полной версии материала по ссылке в шапке профиля"
36,03/10/2021,354,3924,"Список «роскошных» машин, на которые начисляют повышенный транспортный налог, пополняется моделями масс-маркета. Кому придется платить больше и какие автомобили скоро добавят в список — в карточках @autonews.ru"
